Proposal Title,Catalyst App URL,projectcatalyst.io URL that will be in the Voting App,Proposal ID,Catalyst Username,Proposer Name (as stated in the proposal),Category,Funds requested,Tags
- Signing Git commits with Zero-Knowledge proofs on Midnight,https://app.projectcatalyst.io/proposal/019abb5d-9292-72f4-be41-33b8d60de38f?version=019ac38e-b5aa-720c-807f-e54171895a42,Coming on Jan 12,019abb5d-9292-72f4-be41-33b8d60de38f,Aaron,Aaron Bassett,Midnight: Compact DApps,"10,000 $USDM ",Identity & Verification
.zkdid™ Advancing Global Standards in Proof-of-Personhood,https://app.projectcatalyst.io/proposal/019ac048-b85e-7234-92f1-d5979a34332e?version=019ac27b-da7b-7d90-8758-ea2110e9ecd1,Coming on Jan 12,019ac048-b85e-7234-92f1-d5979a34332e,Toby Bolton - .zkdid™,Toby Bolton (Project Lead) in collaboration with the Fraunhofer Institute (TRAIN Team),Cardano Use Cases: Prototype & Launch,"185,714 $ADA",Identity & Verification
(MDCL) Midnight Decentralized Compute Layer,https://app.projectcatalyst.io/proposal/019abb4e-c8eb-719a-b0d3-0da7517038dd?version=019ac063-586a-7dd0-8909-d1f9b8d79729,Coming on Jan 12,019abb4e-c8eb-719a-b0d3-0da7517038dd,Mauricio Fabian Prieto Davila,Mauricio Fabian Prieto Davila,Midnight: Compact DApps,"10,000 $USDM ",AI
(MVP) Midnight VAT Guard (MVG),https://app.projectcatalyst.io/proposal/019abf09-f812-74df-b24f-2b3ad33571de?version=019abfae-94f1-7995-a6f1-26e146fb1671,Coming on Jan 12,019abf09-f812-74df-b24f-2b3ad33571de,Spiritsurge,Mohammad Hasan Akram,Midnight: Compact DApps,"10,000 $USDM ",Business Services
[5PC] Hoskinson’s Cardano Journey: Easy Edu Material,https://app.projectcatalyst.io/proposal/019ab412-658a-7ea6-b80d-209492e46abb?version=019ac3bd-3576-7701-b8ba-88d569335c2a,Coming on Jan 12,019ab412-658a-7ea6-b80d-209492e46abb,5 Phut Crypto,Hoang Van Minh,Cardano Open: Ecosystem,"44,640 $ADA",Education
[AstraLink] Cardano Infrastructure for Mobile Gaming,https://app.projectcatalyst.io/proposal/019abe8e-cb31-742d-abe2-96384fbc6eff?version=019abf4c-7e07-7caf-9552-e42b65ac9424,Coming on Jan 12,019abe8e-cb31-742d-abe2-96384fbc6eff,Spiritsurge,Mohammad Hasan Akram,Cardano Use Cases: Prototype & Launch,"155,000 $ADA",Infrastructure
[B-REC]: Energy RWA Protocol (Aiken & Satellite Validation),https://app.projectcatalyst.io/proposal/019abb25-af31-7fb3-9204-337967a7d428?version=019ac3cd-4306-7406-9282-9bf0f61fdb6c,Coming on Jan 12,019abb25-af31-7fb3-9204-337967a7d428,BREC Team,BREC Team,Cardano Use Cases: Prototype & Launch,"140,000 $ADA",RWA
[B-REC]: Trusted IoT Edge Oracle (Industrial DePIN),https://app.projectcatalyst.io/proposal/019abe06-f532-7264-a814-e225d885bd21?version=019ac3d7-0875-7742-baed-296f1bcf420d,Coming on Jan 12,019abe06-f532-7264-a814-e225d885bd21,BREC Team,BREC Team,Cardano Use Cases: Prototype & Launch,"135,000 $ADA",RWA
[Br0x] Non-Custodial Bridgeless Swaps: Cardano ↔ EVM,https://app.projectcatalyst.io/proposal/019aa98b-eb0d-7a4a-8922-087704c0d541?version=019ac07a-6d4c-7b43-b99d-2036ad7060d1,Coming on Jan 12,019aa98b-eb0d-7a4a-8922-087704c0d541,IlumNguyen,Sang Nguyen Minh,Cardano Use Cases: Prototype & Launch,"93,400 $ADA",DeFi
[C2VN] Cardano Web3 Developer Bootcamp with Mesh & Aiken,https://app.projectcatalyst.io/proposal/019ab3f5-1034-7f72-b7f8-d50218ad4a54?version=019abfc3-b905-7b15-a2ab-8f4e39defc9d,Coming on Jan 12,019ab3f5-1034-7f72-b7f8-d50218ad4a54,Tien Nguyen Anh,Tien Nguyen Anh,Cardano Open: Ecosystem,"49,120 $ADA",Education
[C2VN]:Online programming(On/Offchain) course on Cardano,https://app.projectcatalyst.io/proposal/019abd1e-bf65-7b10-a1e8-01c43fcb6a8d?version=019abd49-20f8-7f43-91d2-044dad2696a5,Coming on Jan 12,019abd1e-bf65-7b10-a1e8-01c43fcb6a8d,nvhieu,Nguyen Van Hieu,Cardano Open: Ecosystem,"42,800 $ADA",Training
[FIMI] Cardano Viet Nam Edu-Hub: Courses & Discussions,https://app.projectcatalyst.io/proposal/019aba56-716b-7b61-87dc-0538fe79649b?version=019abf59-2481-775a-9b64-a856108c1543,Coming on Jan 12,019aba56-716b-7b61-87dc-0538fe79649b,Fimi.vn,Do Manh Hung,Cardano Open: Ecosystem,"60,000 $ADA",Education
[FIMI] Cardano Vietnam Media-Hub: The Age of Audio & Visual,https://app.projectcatalyst.io/proposal/019abb92-4a95-7390-b4c1-7e5c389e63a5?version=019abded-6ee4-7c6f-b55f-98133bbf6026,Coming on Jan 12,019abb92-4a95-7390-b4c1-7e5c389e63a5,Fimi.vn,Do Manh Hung,Cardano Open: Ecosystem,"58,000 $ADA",Community Outreach
[GiveLoop] – The First Reciprocal Gifting DApp on Cardano,https://app.projectcatalyst.io/proposal/019ac053-6480-7489-8419-3843b223f169?version=019ac054-4ea5-7280-9267-362f2de03803,Coming on Jan 12,019ac053-6480-7489-8419-3843b223f169,thanhdqhe163134,Thanh Dang Quang,Cardano Use Cases: Prototype & Launch,"120,000 $ADA",Marketplace
[IndieNexus] Community-Owned Indie Game Platform on Cardano,https://app.projectcatalyst.io/proposal/019a73e7-b5ed-7916-a77c-b827974e542a?version=019ac1d6-a40d-73dd-99ca-21c38db6c891,Coming on Jan 12,019a73e7-b5ed-7916-a77c-b827974e542a,Davide Lucchesi,Davide Lucchesi,Cardano Use Cases: Prototype & Launch,"165,000 $ADA",Games
[INVENSITY] Educating Mobility & Transportation Enterprises,https://app.projectcatalyst.io/proposal/019a8deb-46c0-7f06-a10f-c6270236d8b4?version=019ac172-e0b4-748b-8953-a3a335d6abda,Coming on Jan 12,019a8deb-46c0-7f06-a10f-c6270236d8b4,INVENSITY GmbH,Fabian Zensen [INVENSITY GmbH],Cardano Open: Ecosystem,"60,000 $ADA",Education
[INVENSITY] Educating Robotics & Electronics Enterprises,https://app.projectcatalyst.io/proposal/019a8e0f-ac25-7376-8c80-ae02f982aee1?version=019ac175-6b79-7771-91c9-89612b7565c4,Coming on Jan 12,019a8e0f-ac25-7376-8c80-ae02f982aee1,INVENSITY GmbH,Fabian Zensen (INVENSITY GmbH),Cardano Open: Ecosystem,"60,000 $ADA",Education
[LAB3] Godot on Cardano – Step-by-Step Game Dev Guide,https://app.projectcatalyst.io/proposal/019ab783-958f-741e-9d2c-0a80227f578e?version=019ac1d8-c376-7ba7-a219-40d9bbe93c1b,Coming on Jan 12,019ab783-958f-741e-9d2c-0a80227f578e,daomanhtung,Dao Manh Tung,Cardano Open: Ecosystem,"30,500 $ADA",Education
[LAB3] Next Generation Certificates: Soulbound Identity,https://app.projectcatalyst.io/proposal/019ab6ef-2f17-7eac-8cbd-77be28aa9c0e?version=019ac1be-f99f-75b1-87a3-8fc46a4822b0,Coming on Jan 12,019ab6ef-2f17-7eac-8cbd-77be28aa9c0e,nghiaphan04,Phan Dinh Nghia,Cardano Use Cases: Prototype & Launch,"77,300 $ADA",Learn to Earn
[Spidex] AI-Powered Risk Analysis Tool for Cardano DeFi,https://app.projectcatalyst.io/proposal/019a9f7a-f7d1-7cf1-b758-5c138d873524?version=019ac384-36c2-76b6-8ba3-1de2ed140257,Coming on Jan 12,019a9f7a-f7d1-7cf1-b758-5c138d873524,Spidex AI,Alex,Cardano Use Cases: Prototype & Launch,"180,000 $ADA",AI
[Strica] Cardanoscan for AI Agents: onchain data integration,https://app.projectcatalyst.io/proposal/019aba41-0cec-7228-a48f-bf9174e9ea6f?version=019ac091-ac5f-72fb-abde-f1fe5da6b251,Coming on Jan 12,019aba41-0cec-7228-a48f-bf9174e9ea6f,Ashish Strica,Strica,Cardano Use Cases: Prototype & Launch,"145,000 $ADA",AI
[UBA] Promoting Cardano Blockchain Education in Universities,https://app.projectcatalyst.io/proposal/019ab873-c798-707b-826d-20a72501010a?version=019abe52-5ab8-760a-9ddb-38b8a692e8d8,Coming on Jan 12,019ab873-c798-707b-826d-20a72501010a,Hoang Van Thong,Hoang Van Thong,Cardano Open: Ecosystem,"59,280 $ADA",Education
